taxonId,scientificName,taxonRank,vernacularName,preferred,source
5141262,Zerynthia polyxena,species,Southern Festoon,,EUNIS Biodiversity Database
5128279,Oeneis polixenes,species,Polixenes Arctic,,Integrated Taxonomic Information System (ITIS)
10175914,Papilio,genus,swallowtails,,Integrated Taxonomic Information System (ITIS)
1933999,Riodinidae,family,Metalmarks,,Integrated Taxonomic Information System (ITIS)
5481,Pieridae,family,Sulphurs,,Integrated Taxonomic Information System (ITIS)
5481,Pieridae,family,Whites,,Integrated Taxonomic Information System (ITIS)
5481,Pieridae,family,orange-tips,,Integrated Taxonomic Information System (ITIS)
5481,Pieridae,family,Whites and Yellows,t,Dyntaxa. Svensk taxonomisk databas
4299712,Coenonympha tullia ochracea,subspecies,'Ochre' Common Ringlet,,Integrated Taxonomic Information System (ITIS)
9417,Papilionidae,family,swallowtail butterflies,,Integrated Taxonomic Information System (ITIS)
9417,Papilionidae,family,swallowtail butterfly,,The Paleobiology Database
5129545,Enodia anthedon,species,Northern Pearly-eye,,Integrated Taxonomic Information System (ITIS)
1911078,Coenonympha,genus,ringlets,,Integrated Taxonomic Information System (ITIS)
7017,Nymphalidae,family,Brushfooted Butterflies,,Integrated Taxonomic Information System (ITIS)
7017,Nymphalidae,family,admirals,,Integrated Taxonomic Information System (ITIS)
7017,Nymphalidae,family,anglewings,,Integrated Taxonomic Information System (ITIS)
7017,Nymphalidae,family,brush-footed butterflies,,Integrated Taxonomic Information System (ITIS)
7017,Nymphalidae,family,brush-footed butterfly,,The Paleobiology Database
7017,Nymphalidae,family,brushfoot butterflies,,Integrated Taxonomic Information System (ITIS)
7017,Nymphalidae,family,checker-spots,,Integrated Taxonomic Information System (ITIS)
7017,Nymphalidae,family,crescent-spots,,Integrated Taxonomic Information System (ITIS)
7017,Nymphalidae,family,fritillaries,,Integrated Taxonomic Information System (ITIS)
7017,Nymphalidae,family,mourningclocks,,Integrated Taxonomic Information System (ITIS)
7017,Nymphalidae,family,purples,,Integrated Taxonomic Information System (ITIS)
7017,Nymphalidae,family,Nymphalids,t,Dyntaxa. Svensk taxonomisk databas
5132084,Limenitis arthemis,species,white admiral,,Integrated Taxonomic Information System (ITIS)
1938016,Papilio glaucus,species,Eastern Tiger Swallowtail,,Catalogue of Life
5142282,Hesperia comma,species,Silver-spotted Skipper,,National checklists and red lists for European butterflies
4299896,Papilio polyxenes asterius,subspecies,black swallowtail,,Integrated Taxonomic Information System (ITIS)
4299896,Papilio polyxenes asterius,subspecies,parsnip swallowtail,,Integrated Taxonomic Information System (ITIS)
5137882,Pieris oleracea,species,Mustard White,,Catalogue of Life
5473,Lycaenidae,family,Gossamer-wing Butterflies,,Integrated Taxonomic Information System (ITIS)
5473,Lycaenidae,family,blues,,Integrated Taxonomic Information System (ITIS)
5473,Lycaenidae,family,coppers,,Integrated Taxonomic Information System (ITIS)
5473,Lycaenidae,family,gossamer-winged butterflies,,Integrated Taxonomic Information System (ITIS)
5473,Lycaenidae,family,hairstreaks,,Integrated Taxonomic Information System (ITIS)
5473,Lycaenidae,family,harvesters,,Integrated Taxonomic Information System (ITIS)
4299866,Papilio glaucus canadensis,subspecies,Canadian tiger swallowtail,,Integrated Taxonomic Information System (ITIS)
1943953,Polites coras,species,peck's skipper,,Integrated Taxonomic Information System (ITIS)
4300156,Glaucopsyche lygdamus couperi,subspecies,silvery blue,,Integrated Taxonomic Information System (ITIS)
9417,Papilionidae,family,Swallowtails,,Integrated Taxonomic Information System (ITIS)
7236092,Pieris,genus,whites,,Integrated Taxonomic Information System (ITIS)
101958982,Theclinae,subfamily,Hairstreaks,,
1946490,Thorybes,genus,Cloudywings,t,iNaturalist taxa API
1915464,Cercyonis,genus,Wood-Nymphs,t,iNaturalist taxa API
9272620,Lycaena hyllus,species,Bronze Copper,t,iNaturalist taxa API
4535868,Papilio polyxenes,species,Black Swallowtail,t,iNaturalist taxa API
5714437,Boloria selene atrocostalis,subspecies,Dark-bordered Fritillary,t,iNaturalist taxa API
1944270,Urbanus,genus,Longtail Skippers,t,iNaturalist taxa API
5714393,Boloria bellona toddi,subspecies,Todd's Meadow Fritillary,t,iNaturalist taxa API
7205815,Limenitis arthemis arthemis,subspecies,American White Admiral,t,iNaturalist taxa API
